window,source,target,source_family,target_family,any_lagged_graph_selected,any_lagged_raw_p05,any_lagged_graph_selected_and_raw_p05,any_lagged_window_fdr_q05,any_lagged_supported,supported_taus,graph_selected_taus,raw_p05_taus,graph_raw_p05_taus,best_lagged_tau,best_lagged_layer,best_lagged_val,best_lagged_abs_val,best_lagged_p,best_lagged_q,min_lagged_p,min_lagged_q,max_lagged_abs_val,n_lagged_tests,n_lagged_graph_selected,n_lagged_raw_p05,n_lagged_graph_raw_p05,n_lagged_supported,lead_lag_label,lead_lag_group,direction_label,same_day_coupling_flag,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,evidence_tier,recommended_usage,failure_reason,risk_note,suggested_reverse_direction,pair_phi_risk,v1_lead_lag_yes,v1_available,tau0_graph_selected_bool,tau0_raw_p05,tau0_q05,tau0_supported_bool,tau0_val,abs_tau0_val,tau0_p,tau0_q,tau0_graph_entry,tau0_abs_ge_best_lagged_abs,lagged_layer_pair,tau0_layer_pair,tau0_lagged_joint_class,v1_to_pcmci_fate
S1,H_centroid_lat,Je_axis_lat,H,Je,False,False,False,False,False,,,,,5,L0_not_selected_not_raw_p05,0.0215320769775145,0.0215320769775145,0.4001432172341263,0.7057014345530972,0.4001432172341263,0.7057014345530972,0.0215320769775145,5,0,0,0,0,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,bidirectional_close,True,2,0.2866700353502285,0.2866700353502285,0.2722224593102738,0.2722224593102738,Tier4a_ambiguous_bidirectional_close,expanded temporal risk pool only; useful for feedback/same-day/transition audit,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,none,False,True,False,False,False,False,0.0519157457997638,0.0519157457997638,0.0813648595611057,0.5727981489483928,,True,lagged_L0_none,tau0_L0_none,no_pcmci_signal,not_v1_lead_lag_yes
S1,H_centroid_lat,Je_meridional_width,H,Je,False,False,False,False,False,,,,,3,L0_not_selected_not_raw_p05,0.015157669409572,0.015157669409572,0.5535526746404296,0.7837560962805393,0.5535526746404296,0.7837560962805393,0.015157669409572,5,0,0,0,0,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,3,0.0151576694095719,0.0151576694095719,-0.0483286928634972,0.0483286928634972,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,True,True,True,True,-0.1217047228751424,0.1217047228751424,1.933178128680365e-06,9.923647727225877e-05,x-x,True,lagged_L0_none,tau0_L4_supported,tau0_supported_only,not_v1_lead_lag_yes
S1,H_centroid_lat,Je_strength,H,Je,False,False,False,False,False,,,,,1,L0_not_selected_not_raw_p05,-0.0452966834574176,0.0452966834574176,0.0766154822640963,0.5761612552511544,0.0766154822640963,0.5761612552511544,0.0452966834574176,5,0,0,0,0,lead_lag_no_same_day_only,lead_lag_no,same_day_only,True,1,0.182380257786618,0.182380257786618,0.2074385268364476,0.2074385268364476,Tier5c_no_same_day_only,do not use as lead-lag candidate; retain as same-day coupling evidence,same_day_only_without_positive_lag_support,same_day_coupling,,none,False,True,False,False,False,False,0.0478416656335533,0.0478416656335533,0.0625628514812188,0.5667458310651592,,True,lagged_L0_none,tau0_L0_none,no_pcmci_signal,not_v1_lead_lag_yes
S1,H_centroid_lat,Jw_axis_lat,H,Jw,False,False,False,False,False,,,,,3,L0_not_selected_not_raw_p05,0.037176539261826,0.037176539261826,0.1462219755328691,0.5764082432363051,0.1462219755328691,0.5764082432363051,0.037176539261826,5,0,0,0,0,lead_lag_ambiguous_direction_uncertain,lead_lag_ambiguous,direction_uncertain,False,2,0.1416283878056025,0.1416283878056025,0.1195950882907493,0.1195950882907493,Tier4c_ambiguous_direction_uncertain,expanded temporal risk pool only; useful for feedback/same-day/transition audit,direction_difference_not_stable,direction_uncertain,,none,False,True,False,False,False,False,-0.0301219950342038,0.0301219950342038,0.2400622115216377,0.763378462691161,,False,lagged_L0_none,tau0_L0_none,no_pcmci_signal,not_v1_lead_lag_yes
S1,H_centroid_lat,Jw_meridional_width,H,Jw,False,False,False,False,False,,,,,1,L0_not_selected_not_raw_p05,0.0461483194491795,0.0461483194491795,0.0711392488386343,0.5761612552511544,0.0711392488386343,0.5761612552511544,0.0461483194491795,5,0,0,0,0,lead_lag_no_same_day_only,lead_lag_no,same_day_only,True,1,0.0478413960503977,0.0478413960503977,0.0563527876575335,0.0563527876575335,Tier5c_no_same_day_only,do not use as lead-lag candidate; retain as same-day coupling evidence,same_day_only_without_positive_lag_support,same_day_coupling,,none,False,True,False,False,False,False,0.0120746463620618,0.0120746463620618,0.6376366033679258,0.8742594735702358,,False,lagged_L0_none,tau0_L0_none,no_pcmci_signal,not_v1_lead_lag_yes
S1,H_centroid_lat,Jw_strength,H,Jw,False,False,False,False,False,,,,,4,L0_not_selected_not_raw_p05,0.0472486697273744,0.0472486697273744,0.0646510681868837,0.5761612552511544,0.0646510681868837,0.5761612552511544,0.0472486697273744,5,0,0,0,0,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,5,0.0721239804524549,0.0721239804524549,-0.0908348683150638,0.0908348683150638,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,False,False,False,-0.0199947130490203,0.0199947130490203,0.4356928087363687,0.7714586257218272,,False,lagged_L0_none,tau0_L0_none,no_pcmci_signal,not_v1_lead_lag_yes
S1,H_centroid_lat,P_main_band_share,H,P,False,False,False,False,False,,,,,3,L0_not_selected_not_raw_p05,0.0458638947568462,0.0458638947568462,0.072994277767424,0.5761612552511544,0.072994277767424,0.5761612552511544,0.0458638947568462,5,0,0,0,0,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,2,0.299707658668902,0.299707658668902,0.250508015746667,0.250508015746667,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,False,False,False,False,-0.0346160279677738,0.0346160279677738,0.1779492327261584,0.6949826839132821,,False,lagged_L0_none,tau0_L0_none,no_pcmci_signal,V1_yes_no_PCMCI_lagged_or_tau0_signal
S1,H_centroid_lat,P_main_minus_south,H,P,False,False,False,False,False,,,,,5,L0_not_selected_not_raw_p05,0.043034348567075,0.043034348567075,0.0926465117715129,0.5761612552511544,0.0926465117715129,0.5761612552511544,0.043034348567075,5,0,0,0,0,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,2,0.3408064970876305,0.3408064970876305,0.303210476458029,0.303210476458029,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,False,False,False,False,0.0052678686640855,0.0052678686640855,0.8374066565217357,0.9653672708715002,,False,lagged_L0_none,tau0_L0_none,no_pcmci_signal,V1_yes_no_PCMCI_lagged_or_tau0_signal
S1,H_centroid_lat,P_north_band_share_35_45,H,P,False,False,False,False,False,,,,,1,L0_not_selected_not_raw_p05,0.0466915048388909,0.0466915048388909,0.067872653137894,0.5761612552511544,0.067872653137894,0.5761612552511544,0.0466915048388909,5,0,0,0,0,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,1,0.0432215617711222,0.0432215617711222,0.061049606266062,0.061049606266062,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,False,False,False,0.0034275401493174,0.0034275401493174,0.8938164910533505,0.9719312393079808,,False,lagged_L0_none,tau0_L0_none,no_pcmci_signal,not_v1_lead_lag_yes
S1,H_centroid_lat,P_north_minus_main_35_45,H,P,False,False,False,False,False,,,,,1,L0_not_selected_not_raw_p05,-0.0473571683126257,0.0473571683126257,0.0643003728188333,0.5761612552511544,0.0643003728188333,0.5761612552511544,0.0473571683126257,5,0,0,0,0,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,2,-0.2790447983432391,0.2790447983432391,-0.207440743464759,0.207440743464759,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,none,True,True,False,False,False,False,0.0387912912632247,0.0387912912632247,0.1308671380777208,0.5894929882371865,,False,lagged_L0_none,tau0_L0_none,no_pcmci_signal,V1_yes_no_PCMCI_lagged_or_tau0_signal
