variant_id,window,source,target,source_family,target_family,n_pcmci_variables,conditioning_variables,extended_day_start,extended_day_end,elapsed_seconds,status,representative_variables,n_total_values,n_masked_values,masked_fraction
c1_targeted_no_same_family_controls,S3,V_pos_centroid_lat,P_total_centroid_lat_10_50,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,10.479198932647705,completed,,,,
c1_targeted_no_same_family_controls,S3,V_NS_diff,P_main_band_share,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,18.37141251564026,completed,,,,
c1_targeted_no_same_family_controls,S3,V_NS_diff,P_south_band_share_18_24,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,9.815518379211426,completed,,,,
c1_targeted_no_same_family_controls,S3,V_NS_diff,P_main_minus_south,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,11.909471988677979,completed,,,,
c1_targeted_no_same_family_controls,S3,V_NS_diff,P_spread_lat,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,7.408212661743164,completed,,,,
c1_targeted_no_same_family_controls,S3,V_NS_diff,P_north_band_share_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,7.229508638381958,completed,,,,
c1_targeted_no_same_family_controls,S3,V_NS_diff,P_north_minus_main_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,8.934631109237671,completed,,,,
c1_targeted_no_same_family_controls,S3,V_NS_diff,P_total_centroid_lat_10_50,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,82,106,13.80932331085205,completed,,,,
c1_targeted_no_same_family_controls,T3,V_strength,P_main_band_share,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.752337694168091,completed,,,,
c1_targeted_no_same_family_controls,T3,V_strength,P_south_band_share_18_24,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.594656229019165,completed,,,,
c1_targeted_no_same_family_controls,T3,V_strength,P_main_minus_south,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.986583948135376,completed,,,,
c1_targeted_no_same_family_controls,T3,V_strength,P_spread_lat,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.410181760787964,completed,,,,
c1_targeted_no_same_family_controls,T3,V_strength,P_north_band_share_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,4.707915782928467,completed,,,,
c1_targeted_no_same_family_controls,T3,V_strength,P_north_minus_main_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.414414167404175,completed,,,,
c1_targeted_no_same_family_controls,T3,V_strength,P_total_centroid_lat_10_50,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.9899027347564697,completed,,,,
c1_targeted_no_same_family_controls,T3,V_pos_centroid_lat,P_main_band_share,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.275615930557251,completed,,,,
c1_targeted_no_same_family_controls,T3,V_pos_centroid_lat,P_south_band_share_18_24,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.3554317951202393,completed,,,,
c1_targeted_no_same_family_controls,T3,V_pos_centroid_lat,P_main_minus_south,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.533553123474121,completed,,,,
c1_targeted_no_same_family_controls,T3,V_pos_centroid_lat,P_spread_lat,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.2756400108337402,completed,,,,
c1_targeted_no_same_family_controls,T3,V_pos_centroid_lat,P_north_band_share_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.573777198791504,completed,,,,
c1_targeted_no_same_family_controls,T3,V_pos_centroid_lat,P_north_minus_main_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.0780115127563477,completed,,,,
c1_targeted_no_same_family_controls,T3,V_pos_centroid_lat,P_total_centroid_lat_10_50,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.6110849380493164,completed,,,,
c1_targeted_no_same_family_controls,T3,V_NS_diff,P_main_band_share,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.1980483531951904,completed,,,,
c1_targeted_no_same_family_controls,T3,V_NS_diff,P_south_band_share_18_24,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.023395538330078,completed,,,,
c1_targeted_no_same_family_controls,T3,V_NS_diff,P_main_minus_south,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.1176486015319824,completed,,,,
c1_targeted_no_same_family_controls,T3,V_NS_diff,P_spread_lat,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.0066657066345215,completed,,,,
c1_targeted_no_same_family_controls,T3,V_NS_diff,P_north_band_share_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.682079792022705,completed,,,,
c1_targeted_no_same_family_controls,T3,V_NS_diff,P_north_minus_main_35_45,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,2.9741909503936768,completed,,,,
c1_targeted_no_same_family_controls,T3,V_NS_diff,P_total_centroid_lat_10_50,V,P,12,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width;Je_strength;Je_axis_lat;Je_meridional_width;Jw_strength;Jw_axis_lat;Jw_meridional_width,102,117,3.6897220611572266,completed,,,,
c2_family_representative_standard,S1,,,,,11,,-4,39,41.50806403160095,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,21780.0,3465.0,0.1590909090909091
c2_family_representative_standard,T1,,,,,11,,35,48,10.852557897567749,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,6930.0,0.0,0.0
c2_family_representative_standard,S2,,,,,11,,44,74,46.1922972202301,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,15345.0,0.0,0.0
c2_family_representative_standard,T2,,,,,11,,70,86,13.910348653793335,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,8415.0,0.0,0.0
c2_family_representative_standard,S3,,,,,11,,82,106,32.172789335250854,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,12375.0,0.0,0.0
c2_family_representative_standard,T3,,,,,11,,102,117,5.139925003051758,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,7920.0,0.0,0.0
c2_family_representative_standard,S4,,,,,11,,113,154,43.478939056396484,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,20790.0,0.0,0.0
c2_family_representative_standard,T4,,,,,11,,150,164,8.093717336654663,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,7425.0,0.0,0.0
c2_family_representative_standard,S5,,,,,11,,160,183,29.85710620880127,completed,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,11880.0,990.0,0.08333333333333333
