diagnosis_id,support_level,comparison_or_window,sector,primary_evidence,counter_evidence,allowed_statement,forbidden_statement
same_region_correspondence_insufficient,methodological_warning,all,all,"P and V850 are compared through pre-registered offset/edge/gradient structures, not only same-region same-sign values.",None; this is a design constraint.,Same-region P and V850 deltas are insufficient as a standalone correspondence claim.,Do not infer no correspondence solely from opposite-signed same-region P and V850 changes.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,T3_full_minus_S3,full_easm_lon,V_positive_north_edge_shift=3; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,T3_full_minus_S3,west_sector,V_positive_north_edge_shift=2.5; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,T3_full_minus_S3,mid_sector,V_positive_north_edge_shift=0.5; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,T3_full_minus_S3,south_scs_ref,V_positive_north_edge_shift=1; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,T3_late_minus_T3_early,full_easm_lon,V_positive_north_edge_shift=0.5; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,T3_late_minus_T3_early,west_sector,V_positive_north_edge_shift=2.5; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,T3_late_minus_T3_early,mid_sector,V_positive_north_edge_shift=1.75; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,T3_late_minus_T3_early,south_scs_ref,V_positive_north_edge_shift=0.25; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_retreat_with_p_highlat_decline,supported_in_this_sector_comparison,S4_minus_T3_full,full_easm_lon,V_positive_north_edge_shift=-6; high-lat P deltas mostly negative.,Does not prove causality or lagged influence.,V850 positive north-edge retreat is object-layer consistent with high-latitude P decline for this sector/comparison.,Do not state that V850 caused high-latitude P retreat.
v_northward_extension_with_p_highlat_increase,supported_in_this_sector_comparison,S4_minus_T3_full,west_sector,V_positive_north_edge_shift=0.25; high-lat P deltas mostly positive.,Does not prove causality or lagged influence.,V850 positive north-edge extension is object-layer consistent with high-latitude P increase for this sector/comparison.,Do not state that V850 caused high-latitude P increase.
v_retreat_with_p_highlat_decline,supported_in_this_sector_comparison,S4_minus_T3_full,mid_sector,V_positive_north_edge_shift=-7.25; high-lat P deltas mostly negative.,Does not prove causality or lagged influence.,V850 positive north-edge retreat is object-layer consistent with high-latitude P decline for this sector/comparison.,Do not state that V850 caused high-latitude P retreat.
v_retreat_with_p_highlat_decline,supported_in_this_sector_comparison,S4_minus_T3_full,east_sector,V_positive_north_edge_shift=-4.5; high-lat P deltas mostly negative.,Does not prove causality or lagged influence.,V850 positive north-edge retreat is object-layer consistent with high-latitude P decline for this sector/comparison.,Do not state that V850 caused high-latitude P retreat.
v_retreat_with_p_highlat_decline,supported_in_this_sector_comparison,S4_minus_T3_full,south_scs_ref,V_positive_north_edge_shift=-8.25; high-lat P deltas mostly negative.,Does not prove causality or lagged influence.,V850 positive north-edge retreat is object-layer consistent with high-latitude P decline for this sector/comparison.,Do not state that V850 caused high-latitude P retreat.
p_change_peak_to_v_change_structure_offset,case_count_only,all_comparisons,all_sectors,n_change_peaks_within_5deg_of_v_gradient_change_peak=22,Distance-only cases are not mechanism proof.,P change peaks can be inspected against V850 change/gradient structures using the dedicated table.,Do not treat the nearest V structure as a post-hoc causal match.
p_clim_band_to_v_clim_structure_offset,available_for_review,all_windows,all_sectors,n_p_clim_band_to_v_structure_rows=193,Climatological alignment does not imply change correspondence.,P climatological bands can be compared with V850 climatological peak/centroid/edge positions.,Do not use climatological P bands as P change peaks.
