bootstrap_id,Y_delta_B_minus_A,A_earlier_flag,B_earlier_flag,same_day_flag,window_id,target_name,object_A,object_B
0,-2.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
1,-1.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
2,-8.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
3,-3.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
4,-7.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
5,2.0,True,False,False,W081,W081_P_vs_V_delta_peak,P,V
6,0.0,False,False,True,W081,W081_P_vs_V_delta_peak,P,V
7,8.0,True,False,False,W081,W081_P_vs_V_delta_peak,P,V
8,10.0,True,False,False,W081,W081_P_vs_V_delta_peak,P,V
9,0.0,False,False,True,W081,W081_P_vs_V_delta_peak,P,V
10,-4.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
11,-3.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
12,-10.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
13,-5.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
14,-3.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
15,-1.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
16,-1.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
17,-8.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
18,-7.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
19,-5.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
20,-6.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
21,-2.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
22,0.0,False,False,True,W081,W081_P_vs_V_delta_peak,P,V
23,2.0,True,False,False,W081,W081_P_vs_V_delta_peak,P,V
24,-8.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
25,-1.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
26,-3.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
27,-4.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
28,2.0,True,False,False,W081,W081_P_vs_V_delta_peak,P,V
29,-1.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
30,-1.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
31,9.0,True,False,False,W081,W081_P_vs_V_delta_peak,P,V
32,-1.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
33,-3.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
34,-1.0,False,True,False,W081,W081_P_vs_V_delta_peak,P,V
