diagnosis_id,support_level,comparison,reference_window,target_window,region_or_latband,evidence_value,allowed_statement,forbidden_statement
P_main_meiyu_change_from_S3_to_T3_full,decrease,T3_full_minus_S3,S3,T3_full,main_meiyu,-1.1435215585367233,"Relative to S3, T3_full main/Meiyu precipitation decrease by -1.14352 in the object-layer mean.",Do not describe main/Meiyu precipitation change without stating the S3 reference window.
P_south_china_scs_change_from_S3_to_T3_full,increase,T3_full_minus_S3,S3,T3_full,south_china_scs,0.8535090803794576,"Relative to S3, T3_full south/SCS precipitation increase by 0.853509 in the object-layer mean.",Do not describe south/SCS precipitation change without stating the S3 reference window.
P_north_northeast_change_from_S3_to_T3_full,increase,T3_full_minus_S3,S3,T3_full,north_northeast,0.28721928313426837,"Relative to S3, T3_full north/northeast precipitation increase by 0.287219 in the object-layer mean.",Do not describe north/northeast precipitation change without stating the S3 reference window.
P_north_box_decline_without_detected_higher_lat_escape,fixed_box_decline_no_higher_lat_compensation_detected,S4_minus_T3_full,T3_full,S4,north_northeast_and_latbands_ge_50N,north_box_delta=-0.496251; 50_55N:S4-T3_full=-0.614911; 55_60N:S4-T3_full=-0.559054,"Within available latitude bands, no higher-latitude precipitation compensation is detected for the fixed north-box decline.",Do not generalize beyond the actual data latitude maximum.
P_multiband_structure_present,present,all_windows_all_sectors,,,precip_latitudinal_profiles,193,Use multi-band language where n_precip_bands>=2; single-band migration language is not allowed for those window/sector cases.,Do not summarize precipitation evolution with a single peak/centroid when multiband=true.
P_single_band_northward_shift_supported_cases,case_count_only,adjacent_windows,,,precip_band_links,47,"Only links marked continue with positive peak_lat_shift can be described as a band northward shift, and only for that specific sector/window pair.",Do not use northward-shift language for emerge/disappear/split-like changes.
V850_positive_north_edge_T3_full_minus_S3,north_edge_extends,T3_full_minus_S3,S3,T3_full,full_easm_lon,3.0,"For v850 positive values, the north edge north_edge_extends by 3 degrees in T3_full_minus_S3.",Do not infer precipitation-band movement from v850 north-edge change alone.
V850_positive_north_edge_T3_late_minus_T3_early,north_edge_extends,T3_late_minus_T3_early,T3_early,T3_late,full_easm_lon,0.5,"For v850 positive values, the north edge north_edge_extends by 0.5 degrees in T3_late_minus_T3_early.",Do not infer precipitation-band movement from v850 north-edge change alone.
V850_positive_north_edge_S4_minus_T3_full,north_edge_retracts,S4_minus_T3_full,T3_full,S4,full_easm_lon,-6.0,"For v850 positive values, the north edge north_edge_retracts by -6 degrees in S4_minus_T3_full.",Do not infer precipitation-band movement from v850 north-edge change alone.
data_latitude_coverage,coverage_metadata,not_a_comparison,,,data_domain,lat_min=10; lat_max=60,All northward-escape statements are limited by this actual data latitude coverage.,Do not claim absence beyond lat_max_data.
