mode,information_form,mean_primary_score,n_support,mean_abs_spearman,targets,rank_by_mode,route_decision,top_information_form
anomaly,abs_transition,0.02573269856823944,0,0.023258112652859365,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,6.0,slope_dominant,slope
anomaly,post_state,2.405997656961599,4,0.3416859049058434,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,3.0,slope_dominant,slope
anomaly,pre_state,0.3360556867658149,0,0.3003621613755565,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,4.0,slope_dominant,slope
anomaly,signed_transition,2.5377683125262456,4,0.46644704964849265,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,2.0,slope_dominant,slope
anomaly,slope,2.559219839000357,4,0.481222826684054,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,1.0,slope_dominant,slope
anomaly,window_mean,0.0487943946920852,0,0.04655070262913245,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,5.0,slope_dominant,slope
local_background_removed,abs_transition,0.7030011110470937,1,0.1815501683892422,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,4.0,post_state_dominant,post_state
local_background_removed,post_state,2.3054404591659297,4,0.25463344706274277,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,1.0,post_state_dominant,post_state
local_background_removed,pre_state,0.14265512748800446,0,0.13904317689765028,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,5.0,post_state_dominant,post_state
local_background_removed,signed_transition,2.0223755562128756,3,0.22878648181937428,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,2.0,post_state_dominant,post_state
local_background_removed,slope,0.9999849027297291,1,0.21901248406097182,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,3.0,post_state_dominant,post_state
local_background_removed,window_mean,0.06888361886408262,0,0.06535129619145255,P_centroid_lat_transition;P_main_band_share_transition;P_main_minus_south_transition;P_south_band_share_18_24_transition,6.0,post_state_dominant,post_state
