mode,anchor_name,anchor_type,anchor_start,anchor_end,information_form,mean_score,mean_abs_spearman,n_targets,E2_mean_score,E2_percentile_among_sliding_windows,E2_better_than_n_named_controls,n_named_controls,anchor_decision
anomaly,E1_W18,named,12,23,abs_transition,0.1031480631021467,0.1013542522668709,3,0.030786587212311162,6.896551724137931,0,3,not_E2_specific
anomaly,E1_W18,named,12,23,post_state,0.020056732190306247,0.018964679537882802,3,0.33253055435768125,89.65517241379311,2,3,broad_or_unclear_preseason_background
anomaly,E1_W18,named,12,23,pre_state,0.18831573408932045,0.18249307550816082,3,0.31646399834325795,93.10344827586206,3,3,E2_anchor_partial
anomaly,E1_W18,named,12,23,signed_transition,0.1549526042972836,0.14928062314986842,3,0.46970214571662683,96.55172413793103,2,3,E2_anchor_supported
anomaly,E1_W18,named,12,23,slope,0.17300298471207184,0.16610654388747867,3,0.4849052473388773,100.0,3,3,E2_anchor_supported
anomaly,E1_W18,named,12,23,window_mean,0.1776155471516785,0.17070305469567706,3,0.04938622901577886,10.344827586206897,1,3,not_E2_specific
anomaly,E2_W33,named,27,38,abs_transition,0.030786587212311162,0.03013232347471487,3,0.030786587212311162,6.896551724137931,0,3,not_E2_specific
anomaly,E2_W33,named,27,38,post_state,0.33253055435768125,0.320639854436914,3,0.33253055435768125,89.65517241379311,2,3,broad_or_unclear_preseason_background
anomaly,E2_W33,named,27,38,pre_state,0.31646399834325795,0.30890837449938835,3,0.31646399834325795,93.10344827586206,3,3,E2_anchor_partial
anomaly,E2_W33,named,27,38,signed_transition,0.46970214571662683,0.4565530177786974,3,0.46970214571662683,96.55172413793103,2,3,E2_anchor_supported
anomaly,E2_W33,named,27,38,slope,0.4849052473388773,0.47028594425941644,3,0.4849052473388773,100.0,3,3,E2_anchor_supported
anomaly,E2_W33,named,27,38,window_mean,0.04938622901577886,0.04913136201055404,3,0.04938622901577886,10.344827586206897,1,3,not_E2_specific
anomaly,E2_shift_left,named,22,33,abs_transition,0.12256000620626334,0.12061902886809452,3,0.030786587212311162,6.896551724137931,0,3,not_E2_specific
anomaly,E2_shift_left,named,22,33,post_state,0.259684123554615,0.2503434273349867,3,0.33253055435768125,89.65517241379311,2,3,broad_or_unclear_preseason_background
anomaly,E2_shift_left,named,22,33,pre_state,0.16407317397923904,0.159006519409861,3,0.31646399834325795,93.10344827586206,3,3,E2_anchor_partial
anomaly,E2_shift_left,named,22,33,signed_transition,0.17192156756861518,0.16714445286055934,3,0.46970214571662683,96.55172413793103,2,3,E2_anchor_supported
anomaly,E2_shift_left,named,22,33,slope,0.16774823060419605,0.1610543744754025,3,0.4849052473388773,100.0,3,3,E2_anchor_supported
anomaly,E2_shift_left,named,22,33,window_mean,0.28757791068215993,0.28129600648281566,3,0.04938622901577886,10.344827586206897,1,3,not_E2_specific
anomaly,E2_shift_right_safe,named,28,39,abs_transition,0.10876578277352751,0.10227685274264219,3,0.030786587212311162,6.896551724137931,0,3,not_E2_specific
anomaly,E2_shift_right_safe,named,28,39,post_state,0.38262232859063233,0.37319032084326736,3,0.33253055435768125,89.65517241379311,2,3,broad_or_unclear_preseason_background
anomaly,E2_shift_right_safe,named,28,39,pre_state,0.257205768876575,0.24842905244203747,3,0.31646399834325795,93.10344827586206,3,3,E2_anchor_partial
anomaly,E2_shift_right_safe,named,28,39,signed_transition,0.48718875489739416,0.47312468246395173,3,0.46970214571662683,96.55172413793103,2,3,E2_anchor_supported
anomaly,E2_shift_right_safe,named,28,39,slope,0.4784749678949381,0.465568394299803,3,0.4849052473388773,100.0,3,3,E2_anchor_supported
anomaly,E2_shift_right_safe,named,28,39,window_mean,0.033616584189853846,0.03178683083169453,3,0.04938622901577886,10.344827586206897,1,3,not_E2_specific
