scope,object,config_id,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,joint_support_class,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status,object_support_class
joint_all,joint_all,BASELINE,CP001,18,0.582,0.745,0.025,0.23,3.9623212840330275,2.0,joint_weak_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,BASELINE,CP002,45,0.901,0.993,0.006,0.001,6.509541424571214,1.0,joint_strong_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,BASELINE,CP003,81,0.574,0.951,0.043,0.006,10.602442900771202,2.0,joint_strong_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,BASELINE,CP004,96,0.551,0.807,0.041,0.152,8.365785708333403,2.0,joint_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,BASELINE,CP005,113,0.814,0.987,0.005,0.008,10.551466230461433,1.0,joint_strong_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,BASELINE,CP006,132,0.467,0.899,0.082,0.019,5.152466035000627,3.0,joint_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,BASELINE,CP007,135,0.485,0.854,0.133,0.013,5.1328621956521285,3.0,joint_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,BASELINE,CP008,160,0.7,0.962,0.029,0.009,8.207705103010262,2.0,joint_strong_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP001,16,0.727,0.927,0.022,0.051,2.406678354103815,2.0,joint_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP002,45,0.888,0.995,0.005,0.0,4.252357910662431,1.0,joint_strong_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP003,57,0.278,0.331,0.277,0.392,2.8718771129830456,8.0,joint_unstable_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP004,67,0.606,0.793,0.079,0.128,3.24968468103496,2.0,joint_weak_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP005,80,0.394,0.949,0.05,0.001,6.444088979210362,3.0,joint_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP006,96,0.682,0.904,0.033,0.063,5.007739891681469,2.0,joint_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP007,113,0.829,0.997,0.002,0.001,6.557098164064612,1.0,joint_strong_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP008,130,0.426,0.907,0.077,0.016,3.3077308011586677,3.0,joint_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP009,135,0.558,0.83,0.158,0.012,3.2391878501128266,2.0,joint_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_16,CP010,160,0.639,0.972,0.027,0.001,5.086273779187844,2.0,joint_strong_candidate,detector_width,detector_width,16,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_24,CP001,19,0.528,0.565,0.047,0.388,6.428025560840579,2.0,joint_weak_candidate,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_24,CP002,44,0.878,0.994,0.005,0.001,9.080729777543162,1.0,joint_strong_candidate,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_24,CP003,81,0.644,0.957,0.033,0.01,15.464935453425014,2.0,joint_strong_candidate,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_24,CP004,96,0.4,0.64,0.035,0.325,13.149247486493106,4.0,joint_weak_candidate,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
joint_all,joint_all,DET_WIDTH_24,CP005,113,0.772,0.962,0.008,0.03,15.118601140115898,1.0,joint_strong_candidate,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run,
