window_id,object_or_pair,target_type,n_usable_or_stronger_years,n_credible_years,n_strict_years,top_influential_years,top_influence_directions,does_year_influence_explain_instability,recommended_next_check
W081,H,object_peak,35,6,22,1996;1990;1984;2017;2021;2006;1994;2013,push_late_peak;push_early_peak;push_late_peak;push_late_peak;push_late_peak;push_early_peak;push_late_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W081,Je,object_peak,31,10,17,1979;1988;1990;1994;1993;2006;2005;2013,push_early_peak;push_late_peak;push_early_peak;push_late_peak;push_early_peak;push_early_peak;push_late_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W081,Jw,object_peak,38,8,28,1980;1981;2021;1993;1991;1988;2013;2016,push_late_peak;push_early_peak;push_early_peak;push_early_peak;push_late_peak;push_late_peak;push_late_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W081,P,object_peak,35,6,24,1983;1998;1991;2002;2016;1995;1994;2010,push_late_peak;push_late_peak;push_late_peak;push_early_peak;push_early_peak;push_early_peak;push_late_peak;push_late_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W081,V,object_peak,34,11,20,1979;1984;2002;1989;1995;1991;2018;2000,push_early_peak;push_late_peak;push_early_peak;push_late_peak;push_early_peak;push_late_peak;push_early_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W081,H-Je,pairwise_order,23,6,12,2013;2019;2012;1988;1984;1982;1994;2021,reduce_H_earlier;push_H_earlier;reduce_H_earlier;push_H_earlier;reduce_H_earlier;reduce_Je_earlier;push_H_earlier;reduce_H_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,H-Jw,pairwise_order,18,5,11,1980;2021;1988;2006;1981;2010;2018;1999,push_H_earlier;reduce_H_earlier;push_H_earlier;reduce_Jw_earlier;reduce_H_earlier;push_H_earlier;push_H_earlier;reduce_H_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,Je-Jw,pairwise_order,23,5,14,2021;1984;1979;2007;1990;2013;1981;2006,reduce_Je_earlier;push_Je_earlier;push_Je_earlier;push_Je_earlier;push_Je_earlier;push_Je_earlier;reduce_Je_earlier;push_Je_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,P-H,pairwise_order,20,11,7,1983;1994;2005;1985;2006;1998;2018;2000,push_H_earlier;push_H_earlier;push_H_earlier;reduce_P_earlier;push_H_earlier;push_H_earlier;reduce_P_earlier;reduce_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,P-Je,pairwise_order,20,6,10,1991;1995;2019;1990;2017;2002;1999;2000,push_Je_earlier;reduce_Je_earlier;reduce_Je_earlier;reduce_P_earlier;reduce_P_earlier;reduce_Je_earlier;reduce_P_earlier;push_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,P-Jw,pairwise_order,22,5,13,1980;1987;2021;1991;1981;2002;2001;2000,push_P_earlier;reduce_P_earlier;reduce_P_earlier;reduce_P_earlier;reduce_P_earlier;reduce_Jw_earlier;reduce_Jw_earlier;push_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,P-V,pairwise_order,27,5,16,1983;2005;1997;2010;2018;2004;2000;1986,push_V_earlier;reduce_P_earlier;reduce_V_earlier;push_V_earlier;push_V_earlier;reduce_P_earlier;reduce_P_earlier;reduce_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,V-H,pairwise_order,21,4,11,1991;1995;1996;2006;1985;1988;2004;2002,reduce_V_earlier;reduce_H_earlier;reduce_H_earlier;push_H_earlier;reduce_V_earlier;push_H_earlier;reduce_H_earlier;reduce_H_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,V-Je,pairwise_order,21,4,12,1991;2013;1993;2000;1989;1984;2019;2017,reduce_V_earlier;push_Je_earlier;push_Je_earlier;reduce_Je_earlier;push_Je_earlier;reduce_V_earlier;push_V_earlier;reduce_V_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W081,V-Jw,pairwise_order,22,6,13,1980;1981;1987;2000;2021;1991;2018;1989,push_V_earlier;reduce_V_earlier;reduce_V_earlier;push_V_earlier;reduce_V_earlier;reduce_V_earlier;reduce_Jw_earlier;reduce_V_earlier,strong_candidate,inspect high-influence years before any physical interpretation
