field,feature_id,feature_coordinate,feature_axis_type,feature_type,feature_physical_meaning,is_latitude_feature,is_component_feature,can_map_to_physical_region,provenance_label,interpretation_limit
H,0,0,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,1,1,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,2,2,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,3,3,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,4,4,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,5,5,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,6,6,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,7,7,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,8,8,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,9,9,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
H,10,10,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,0,0,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,1,1,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,2,2,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,3,3,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,4,4,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,5,5,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,6,6,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,7,7,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,8,8,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,9,9,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
Jw,10,10,feature_index,feature_index,feature_index_not_physical_region,False,False,False,feature_index_only,"Feature index is available, but physical region interpretation is not allowed without provenance mapping."
