window_id,target_name,object_A,object_B,Y_definition,target_priority,target_source_reason,method_role,target_pair,unordered_pair,target_set,was_in_original_v9_1_f,result_scope_note,n_bootstrap,n_features,Y_mean,Y_std,fit_status,covariance_strength,corr_score_Y,spearman_score_Y,permutation_empirical_p,permutation_level,mode_pattern_corr_median,mode_stability_status,permutation_level_ev3,mode_stability_status_ev3,extreme_year_dominated_flag,tercile_high_order_level,tercile_low_order_level,tercile_high_low_reversal_flag,best_quantile_scheme,best_high_order_level,best_low_order_level,best_high_dominant_probability,best_low_dominant_probability,best_high_low_reversal_flag,gradient_status,delta_gradient_slope,A_earlier_gradient_slope,B_earlier_gradient_slope,evidence_v1_level,evidence_v2_level,pattern_type,recommended_interpretation,interpretation_boundary,specificity_status,specificity_own_abs_rank,specificity_own_minus_max_other,cross_target_specificity_level,signflip_level,signflip_percentile,dominant_object,dominant_object_fraction,dominant_time_half,pattern_interpretability_status,evidence_v3_level,recommended_interpretation_v3,top1_year,top1_fraction_of_total_abs_leverage,top3_fraction_of_total_abs_leverage,top5_fraction_of_total_abs_leverage,extreme_year_dominated_flag_lev,permutation_empirical_p_mt,permutation_level_mt,observed_abs_corr,signflip_percentile_mt,signflip_level_mt,signflip_empirical_p_from_percentile,fdr_q_permutation_all40,passes_raw_perm_95,passes_fdr_perm_10,passes_fdr_perm_05,fdr_q_permutation_within_window,fdr_q_signflip_all40,passes_raw_signflip_95,passes_fdr_signflip_10,passes_fdr_signflip_05,fdr_q_signflip_within_window,high_delta_median,low_delta_median,mid_delta_median,high_dominant_order_direction,low_dominant_order_direction,mid_dominant_order_direction,high_dominant_order_probability,low_dominant_order_probability,mid_dominant_order_probability,high_order_level,low_order_level,mid_order_level,interpretation_boundary_all_pairs_a
W045,W045_P_vs_V_delta_peak,P,V,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,P-V,P-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately,1000,4047,1.116,2.2033029750808217,ok,240.43412340299855,0.4932497149423273,0.547267905936568,0.0,strict_99,0.9625257071345056,stable,strict_99,stable,False,weak_or_none,weak_or_none,True,decile,usable_90,weak_or_none,0.91,0.51,True,clear_continuous_gradient,0.7,0.162,-0.1045,weak_bootstrap_coupling_hint,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.0807058070682726,not_specific,direction_specific_99,1.0,P,0.2462354533582492,early,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,1991,0.087435806430584,0.1971374557254507,0.2944632367321218,False,0.0,strict_99,0.4932497149423273,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,2.0,0.0,1.0,P_earlier,V_earlier,P_earlier,0.8473053892215568,0.3753753753753753,0.5945945945945946,weak_or_none,weak_or_none,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_P_vs_H_delta_peak,P,H,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,P-H,H-P,added_all_pair,False,all-pair extension result; original priority targets are marked separately,1000,4047,-5.126,7.478911952951445,ok,148.720415168343,0.3339658408679226,0.2611418296243578,0.0,strict_99,0.91292011889448,stable,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,usable_90,0.53,0.91,True,clear_continuous_gradient,1.65,0.077,-0.0809999999999999,not_supported,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,common_mode,1,0.0277436624525694,not_specific,direction_specific_99,1.0,P,0.2275987707586936,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,1981,0.0662019206652658,0.1619335124319323,0.2462649860381123,False,0.0,strict_99,0.3339658408679226,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,-4.5,-9.0,-8.0,H_earlier,H_earlier,H_earlier,0.5538922155688623,0.8228228228228228,0.7777777777777778,weak_or_none,weak_or_none,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_P_vs_Je_delta_peak,P,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,P-Je,Je-P,added_all_pair,False,all-pair extension result; original priority targets are marked separately,1000,4047,2.046,2.965111127765703,ok,261.3550519680902,0.4938037106498815,0.6010409072623442,0.0,strict_99,0.96744208491052,stable,strict_99,stable,False,usable_90,weak_or_none,False,decile,credible_95,weak_or_none,0.97,0.39,True,clear_continuous_gradient,1.0,0.1399999999999999,-0.0645,weak_bootstrap_coupling_hint,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.0655543737151779,not_specific,direction_specific_99,1.0,Jw,0.2157030080496926,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,1998,0.0610326591867362,0.1675730722504109,0.2552883584649468,False,0.0,strict_99,0.4938037106498815,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,3.0,0.0,2.0,P_earlier,P_earlier,P_earlier,0.9311377245508982,0.4564564564564564,0.7927927927927928,usable_90,weak_or_none,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_P_vs_Jw_delta_peak,P,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,P-Jw,Jw-P,original_priority,True,all-pair extension result; original priority targets are marked separately,1000,4047,-0.966,4.044112263525829,ok,397.69490298748383,0.6615313265229796,0.6734983519785951,0.0,strict_99,0.9871351102520834,stable,strict_99,stable,False,weak_or_none,weak_or_none,True,decile,weak_or_none,credible_95,0.84,0.98,True,clear_continuous_gradient,1.8,0.2009999999999999,-0.2114999999999999,weak_bootstrap_coupling_hint,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.0896033470470338,specific_99,direction_specific_99,1.0,H,0.2140525836486676,late,interpretable_summary_available,robust_pair_specific_reversal,specific bootstrap-composite mode with robust high/low order reversal; still not a physical year type,1991,0.0850010627058029,0.2229241043238264,0.3305384684099149,False,0.0,strict_99,0.6615313265229796,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,2.0,-4.0,-2.0,P_earlier,Jw_earlier,Jw_earlier,0.7335329341317365,0.8978978978978979,0.6516516516516516,weak_or_none,weak_or_none,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_V_vs_H_delta_peak,V,H,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,V-H,H-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately,1000,4047,-6.242,7.400772662364384,ok,153.38004079612787,0.3421668830415994,0.2989086781120951,0.0,strict_99,0.9106726706683494,stable,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,usable_90,0.49,0.91,True,clear_continuous_gradient,1.8,0.077,-0.0845,not_supported,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,common_mode,1,0.0471981059389219,not_specific,direction_specific_99,1.0,V,0.2108344977449471,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,1981,0.0658104569777041,0.1841920731927715,0.2731572045519935,False,0.0,strict_99,0.3421668830415994,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,-6.0,-10.0,-9.0,H_earlier,H_earlier,H_earlier,0.5808383233532934,0.8588588588588588,0.7837837837837838,weak_or_none,weak_or_none,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_V_vs_Je_delta_peak,V,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,V-Je,Je-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately,1000,4047,0.93,2.8599125860767143,ok,289.3478387725865,0.5155568704279588,0.6165549883636399,0.0,strict_99,0.9729020276790584,stable,strict_99,stable,False,usable_90,weak_or_none,True,decile,credible_95,weak_or_none,0.96,0.69,True,clear_continuous_gradient,1.0,0.182,-0.1325,moderate_bootstrap_coupling_candidate,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.1507691236271583,not_specific,direction_specific_99,1.0,V,0.2122072537878262,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,1998,0.0689331678277696,0.1685351400186119,0.264351398677866,False,0.0,strict_99,0.5155568704279588,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,2.0,0.0,1.0,V_earlier,Je_earlier,V_earlier,0.9011976047904192,0.4864864864864865,0.6006006006006006,usable_90,weak_or_none,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_V_vs_Jw_delta_peak,V,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,V-Jw,Jw-V,original_priority,True,all-pair extension result; original priority targets are marked separately,1000,4047,-2.082,3.898624885777035,ok,363.2635193464546,0.6298003314712044,0.6498589546521822,0.0,strict_99,0.9837310786069912,stable,strict_99,stable,False,weak_or_none,usable_90,True,decile,weak_or_none,strict_99,0.79,0.99,True,clear_continuous_gradient,1.75,0.177,-0.192,moderate_bootstrap_coupling_candidate,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,common_mode,2,-0.0228045094267956,not_specific,direction_specific_99,1.0,V,0.2106505886859005,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,1982,0.0832620333731971,0.2208642678845181,0.3367658980183159,False,0.0,strict_99,0.6298003314712044,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,1.0,-5.0,-3.0,V_earlier,Jw_earlier,Jw_earlier,0.6197604790419161,0.9429429429429428,0.7507507507507507,weak_or_none,usable_90,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_H_vs_Je_delta_peak,H,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,H-Je,H-Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately,1000,4047,7.172,7.590943024420617,ok,166.0887001149112,0.3224950798605539,0.273553850375105,0.0,strict_99,0.9284443497113358,stable,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,usable_90,weak_or_none,0.94,0.51,True,clear_continuous_gradient,2.3,0.1005,-0.0875,not_supported,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.0570656051214246,not_specific,direction_specific_99,1.0,Jw,0.2305598407914904,early,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,1998,0.070206584188336,0.1807061873311536,0.2790830778641073,False,0.0,strict_99,0.3224950798605539,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,11.0,8.0,10.0,H_earlier,H_earlier,H_earlier,0.8802395209580839,0.5585585585585585,0.7717717717717718,weak_or_none,weak_or_none,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_H_vs_Jw_delta_peak,H,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,H-Jw,H-Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately,1000,4047,4.16,7.779871464233841,ok,219.0048199665087,0.3637043323746504,0.3817816902334094,0.0,strict_99,0.9550913990949984,stable,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,weak_or_none,0.83,0.57,True,clear_continuous_gradient,1.6,0.0719999999999999,-0.073,not_supported,continuous_gradient_candidate,continuous_score_gradient,score bins show a continuous gradient in peak-time contrast/order probability,refined bootstrap-space coupling diagnostic; not a physical year-type claim,not_specific,4,-0.14876744863753,not_specific,direction_specific_99,1.0,Jw,0.238609925854193,early,interpretable_summary_available,robust_continuous_gradient,mode robustly provides continuous peak-time/order gradient without categorical reversal,1991,0.083805074828508,0.2184004554089325,0.3186364054408048,False,0.0,strict_99,0.3637043323746504,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,9.0,3.0,6.0,H_earlier,H_earlier,H_earlier,0.8383233532934131,0.5705705705705706,0.7567567567567568,weak_or_none,weak_or_none,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,Je-Jw,Je-Jw,original_priority,True,all-pair extension result; original priority targets are marked separately,1000,4047,-3.012,4.286240310575225,ok,376.0017507648608,0.6215023015394344,0.663736099333661,0.0,strict_99,0.9841165613777114,stable,strict_99,stable,False,weak_or_none,credible_95,True,decile,weak_or_none,strict_99,0.76,1.0,True,clear_continuous_gradient,1.8,0.15,-0.1844999999999999,moderate_bootstrap_coupling_candidate,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,common_mode,1,0.0402927294881669,not_specific,direction_specific_99,1.0,H,0.2436890846066622,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,1991,0.0703532241366059,0.1937428135261682,0.2980478410061892,False,0.0,strict_99,0.6215023015394344,1.0,direction_specific_99,0.0,0.0,True,True,True,0.0,0.0,True,True,True,0.0,1.0,-6.0,-4.0,Je_earlier,Jw_earlier,Jw_earlier,0.5089820359281437,0.978978978978979,0.8078078078078078,weak_or_none,credible_95,weak_or_none,bootstrap-space all-pair coverage diagnostic; not physical year-type or causal mechanism
