window_id,target_name,bootstrap_id,Y_delta_B_minus_A,score,score_group,A_earlier_flag,B_earlier_flag
W045,W045_P_vs_V_delta_peak,0,0.0,0.05805516889527321,mid,False,False
W045,W045_P_vs_V_delta_peak,1,3.0,0.13056578153560938,mid,True,False
W045,W045_P_vs_V_delta_peak,2,-1.0,-0.20305920998403035,mid,False,True
W045,W045_P_vs_V_delta_peak,3,-1.0,-0.07990085751884733,mid,False,True
W045,W045_P_vs_V_delta_peak,4,-1.0,-1.1846932679706685,low,False,True
W045,W045_P_vs_V_delta_peak,5,5.0,0.5617258938538087,high,True,False
W045,W045_P_vs_V_delta_peak,6,3.0,0.35997811761952636,high,True,False
W045,W045_P_vs_V_delta_peak,7,-1.0,-0.009382035696134243,mid,False,True
W045,W045_P_vs_V_delta_peak,8,0.0,-0.13453098022283683,mid,False,False
W045,W045_P_vs_V_delta_peak,9,1.0,0.11018001766276478,mid,True,False
W045,W045_P_vs_V_delta_peak,10,-1.0,-0.9077404733354174,low,False,True
W045,W045_P_vs_V_delta_peak,11,0.0,0.06259117099858401,mid,False,False
W045,W045_P_vs_V_delta_peak,12,2.0,0.3440803456418677,high,True,False
W045,W045_P_vs_V_delta_peak,13,-1.0,-0.24550421254822896,low,False,True
W045,W045_P_vs_V_delta_peak,14,8.0,0.7447815729652871,high,True,False
W045,W045_P_vs_V_delta_peak,15,1.0,-0.4759790430324556,low,True,False
W045,W045_P_vs_V_delta_peak,16,4.0,0.34463941947780097,high,True,False
W045,W045_P_vs_V_delta_peak,17,0.0,-0.6895533766547246,low,False,False
W045,W045_P_vs_V_delta_peak,18,3.0,0.35679818220168386,high,True,False
W045,W045_P_vs_V_delta_peak,19,2.0,-0.6026878256862171,low,True,False
W045,W045_P_vs_V_delta_peak,20,0.0,0.33797284908220965,high,False,False
W045,W045_P_vs_V_delta_peak,21,4.0,1.2089944746369072,high,True,False
W045,W045_P_vs_V_delta_peak,22,0.0,0.05499193144802855,mid,False,False
W045,W045_P_vs_V_delta_peak,23,3.0,-0.04567029976361886,mid,True,False
W045,W045_P_vs_V_delta_peak,24,-1.0,-0.46376932348395494,low,False,True
W045,W045_P_vs_V_delta_peak,25,5.0,0.29247433230812797,high,True,False
W045,W045_P_vs_V_delta_peak,26,1.0,0.5624499343866357,high,True,False
W045,W045_P_vs_V_delta_peak,27,5.0,0.35409009657173995,high,True,False
W045,W045_P_vs_V_delta_peak,28,-1.0,-0.5172675507234095,low,False,True
W045,W045_P_vs_V_delta_peak,29,-1.0,-0.3570247367227183,low,False,True
W045,W045_P_vs_V_delta_peak,30,1.0,-0.16870762372318496,mid,True,False
W045,W045_P_vs_V_delta_peak,31,4.0,0.33950605268902795,high,True,False
W045,W045_P_vs_V_delta_peak,32,2.0,0.5133623878110724,high,True,False
W045,W045_P_vs_V_delta_peak,33,1.0,-0.480089471088231,low,True,False
W045,W045_P_vs_V_delta_peak,34,1.0,-0.30266684512526565,low,True,False
W045,W045_P_vs_V_delta_peak,35,2.0,0.9715375973744457,high,True,False
W045,W045_P_vs_V_delta_peak,36,0.0,-0.20693207088429147,low,False,False
W045,W045_P_vs_V_delta_peak,37,4.0,0.9292310233114923,high,True,False
W045,W045_P_vs_V_delta_peak,38,1.0,0.48532360913192263,high,True,False
W045,W045_P_vs_V_delta_peak,39,2.0,0.350673736654661,high,True,False
W045,W045_P_vs_V_delta_peak,40,-1.0,-0.2575085520677039,low,False,True
W045,W045_P_vs_V_delta_peak,41,0.0,-0.4740439979584502,low,False,False
W045,W045_P_vs_V_delta_peak,42,1.0,1.2011672185599482,high,True,False
W045,W045_P_vs_V_delta_peak,43,0.0,-0.2464090557634724,low,False,False
W045,W045_P_vs_V_delta_peak,44,0.0,-0.3715595354745457,low,False,False
W045,W045_P_vs_V_delta_peak,45,-1.0,-0.7811042843792629,low,False,True
W045,W045_P_vs_V_delta_peak,46,-1.0,-0.7666440270482708,low,False,True
W045,W045_P_vs_V_delta_peak,47,-1.0,-0.5556907642276987,low,False,True
W045,W045_P_vs_V_delta_peak,48,-1.0,0.36882794709802835,high,False,True
W045,W045_P_vs_V_delta_peak,49,4.0,0.5352983597187769,high,True,False
W045,W045_P_vs_V_delta_peak,50,-1.0,-0.08882810391387001,mid,False,True
W045,W045_P_vs_V_delta_peak,51,-1.0,-0.586319089521547,low,False,True
W045,W045_P_vs_V_delta_peak,52,0.0,-0.023895395183997616,mid,False,False
W045,W045_P_vs_V_delta_peak,53,0.0,-0.3836564912224192,low,False,False
W045,W045_P_vs_V_delta_peak,54,3.0,0.5517446519945893,high,True,False
W045,W045_P_vs_V_delta_peak,55,3.0,0.5291277953894338,high,True,False
W045,W045_P_vs_V_delta_peak,56,0.0,0.11961005944139563,mid,False,False
W045,W045_P_vs_V_delta_peak,57,-3.0,-0.771624669743904,low,False,True
W045,W045_P_vs_V_delta_peak,58,-5.0,-1.2258181444536467,low,False,True
W045,W045_P_vs_V_delta_peak,59,3.0,-0.36415830824121187,low,True,False
W045,W045_P_vs_V_delta_peak,60,1.0,-0.2495020308371732,low,True,False
W045,W045_P_vs_V_delta_peak,61,3.0,0.2182190007172806,high,True,False
W045,W045_P_vs_V_delta_peak,62,3.0,0.2791757343421598,high,True,False
W045,W045_P_vs_V_delta_peak,63,-1.0,-0.6703165520658936,low,False,True
W045,W045_P_vs_V_delta_peak,64,3.0,-0.028429700151724815,mid,True,False
W045,W045_P_vs_V_delta_peak,65,0.0,0.4609554901607741,high,False,False
W045,W045_P_vs_V_delta_peak,66,0.0,0.12616619194157763,mid,False,False
W045,W045_P_vs_V_delta_peak,67,-1.0,-0.13538651132744572,mid,False,True
W045,W045_P_vs_V_delta_peak,68,0.0,-0.28774264604365557,low,False,False
W045,W045_P_vs_V_delta_peak,69,4.0,1.4844632955589057,high,True,False
W045,W045_P_vs_V_delta_peak,70,0.0,-0.0010275999350390583,mid,False,False
W045,W045_P_vs_V_delta_peak,71,-1.0,-0.7843333492414847,low,False,True
W045,W045_P_vs_V_delta_peak,72,2.0,-0.13278835419597854,mid,True,False
