window_id,target_name,object_A,object_B,score_bin,score_bin_index,n_bootstrap,score_min,score_max,score_mean,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,dominant_order_direction,dominant_order_probability,order_level
W045,W045_P_vs_V_delta_peak,P,V,Q1,1,200,-1.5861941543606826,-0.4191118970706463,-0.6798798326771441,0.0,-3.0,2.0250000000000057,0.22,0.455,0.325,V_earlier,0.455,weak_or_none
W045,W045_P_vs_V_delta_peak,P,V,Q2,2,200,-0.41895441916428233,-0.12194029305983668,-0.2608937895820335,0.0,-4.0249999999999995,5.025000000000006,0.45,0.25,0.3,P_earlier,0.45,weak_or_none
W045,W045_P_vs_V_delta_peak,P,V,Q3,3,200,-0.12161846939760339,0.11484093629642653,-0.003028209705551239,1.0,-2.0,5.0,0.58,0.17,0.25,P_earlier,0.58,weak_or_none
W045,W045_P_vs_V_delta_peak,P,V,Q4,4,200,0.11960604831317218,0.4101241276930531,0.2528866297510046,2.0,-2.0,7.050000000000011,0.77,0.065,0.165,P_earlier,0.77,weak_or_none
W045,W045_P_vs_V_delta_peak,P,V,Q5,5,200,0.41640768189206623,1.5498969146681638,0.6909152022137244,2.5,-0.024999999999999467,7.0,0.87,0.025,0.105,P_earlier,0.87,weak_or_none
W045,W045_P_vs_H_delta_peak,P,H,Q1,1,200,-1.436830707883916,-0.3618221957121538,-0.6189858203900941,-9.0,-13.0,6.0,0.135,0.855,0.01,H_earlier,0.855,weak_or_none
W045,W045_P_vs_H_delta_peak,P,H,Q2,2,200,-0.36123770945730604,-0.12386630332209238,-0.23172839543591922,-8.5,-14.024999999999999,7.0,0.17,0.79,0.04,H_earlier,0.79,weak_or_none
W045,W045_P_vs_H_delta_peak,P,H,Q3,3,200,-0.12342412366424745,0.10817800273639622,-0.005690421633971443,-8.0,-14.0,10.0,0.23,0.76,0.01,H_earlier,0.76,weak_or_none
W045,W045_P_vs_H_delta_peak,P,H,Q4,4,200,0.10834886047700401,0.37085334766040423,0.2272072608280894,-8.0,-14.0,12.0,0.3,0.68,0.02,H_earlier,0.68,weak_or_none
W045,W045_P_vs_H_delta_peak,P,H,Q5,5,200,0.37401413636509173,1.543513011593009,0.6291973766318955,-1.0,-13.0,15.025000000000006,0.455,0.505,0.04,H_earlier,0.505,weak_or_none
W045,W045_P_vs_Je_delta_peak,P,Je,Q1,1,200,-1.7848214400815607,-0.41873678727533503,-0.7551566710236471,0.0,-3.0249999999999995,3.0,0.325,0.305,0.37,P_earlier,0.325,weak_or_none
W045,W045_P_vs_Je_delta_peak,P,Je,Q2,2,200,-0.4171200332394785,-0.12637715305848177,-0.26905610462117235,1.0,-2.0,5.0,0.73,0.11,0.16,P_earlier,0.73,weak_or_none
W045,W045_P_vs_Je_delta_peak,P,Je,Q3,3,200,-0.1263016711360838,0.142051516172081,0.0011022078593171968,2.0,-2.0,7.025000000000006,0.765,0.065,0.17,P_earlier,0.765,weak_or_none
W045,W045_P_vs_Je_delta_peak,P,Je,Q4,4,200,0.14276992297063354,0.45987821243815996,0.2949302094078811,3.0,-1.0249999999999995,9.050000000000011,0.85,0.045,0.105,P_earlier,0.85,weak_or_none
W045,W045_P_vs_Je_delta_peak,P,Je,Q5,5,200,0.4634589439581333,1.685657548416776,0.7281803583776213,4.0,0.0,12.025000000000006,0.965,0.015,0.02,P_earlier,0.965,credible_95
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q1,1,200,-1.9320569053568193,-0.5013778207544769,-0.8298652385966441,-4.0,-9.0,1.0250000000000057,0.035,0.955,0.01,Jw_earlier,0.955,credible_95
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q2,2,200,-0.49484836076922856,-0.15643468350655002,-0.32057200023496357,-3.0,-7.049999999999999,4.025000000000006,0.1,0.815,0.085,Jw_earlier,0.815,weak_or_none
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q3,3,200,-0.15505522179658343,0.12880718608991515,-0.01811833629364199,-1.5,-7.0,5.025000000000006,0.25,0.645,0.105,Jw_earlier,0.645,weak_or_none
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q4,4,200,0.13231923700509726,0.5163650223235108,0.3206526877713051,1.0,-5.0,7.0,0.52,0.38,0.1,P_earlier,0.52,weak_or_none
