diagnosis_id,support_level,comparison,reference_window,target_window,region,v_component,primary_evidence_value,counter_evidence_value,allowed_statement,forbidden_statement
main_meiyu_support_change__V_strength__T3_full_minus_S3,weak_or_near_zero,T3_full_minus_S3,S3,T3_full,main_meiyu,V_strength,-0.004773090919171601,,"For V_strength, main_meiyu support near_zero in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
main_meiyu_support_change__V_strength__T3_late_minus_T3_early,counter_evidence,T3_late_minus_T3_early,T3_early,T3_late,main_meiyu,V_strength,-0.0343570393458425,,"For V_strength, main_meiyu support decrease in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
main_meiyu_support_change__V_strength__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,main_meiyu,V_strength,-0.011102154962790198,,"For V_strength, main_meiyu support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_strength__T3_full_minus_S3,counter_evidence,T3_full_minus_S3,S3,T3_full,south_china_scs,V_strength,-0.030312678635128196,,"For V_strength, south_china_scs support decrease in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_strength__T3_late_minus_T3_early,counter_evidence,T3_late_minus_T3_early,T3_early,T3_late,south_china_scs,V_strength,-0.030981692039565495,,"For V_strength, south_china_scs support decrease in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_strength__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,south_china_scs,V_strength,-0.013708019746168802,,"For V_strength, south_china_scs support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_strength__T3_full_minus_S3,supported,T3_full_minus_S3,S3,T3_full,north_northeast,V_strength,0.011187940761308798,,"For V_strength, north_northeast support increase in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_strength__T3_late_minus_T3_early,supported,T3_late_minus_T3_early,T3_early,T3_late,north_northeast,V_strength,0.013490014802219202,,"For V_strength, north_northeast support increase in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_strength__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,north_northeast,V_strength,-0.0166557973628225,,"For V_strength, north_northeast support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
main_meiyu_support_change__V_NS_diff__T3_full_minus_S3,weak_or_near_zero,T3_full_minus_S3,S3,T3_full,main_meiyu,V_NS_diff,0.0014808184973221991,,"For V_NS_diff, main_meiyu support near_zero in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
main_meiyu_support_change__V_NS_diff__T3_late_minus_T3_early,counter_evidence,T3_late_minus_T3_early,T3_early,T3_late,main_meiyu,V_NS_diff,-0.0343706237344986,,"For V_NS_diff, main_meiyu support decrease in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
main_meiyu_support_change__V_NS_diff__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,main_meiyu,V_NS_diff,-0.018453925812068,,"For V_NS_diff, main_meiyu support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_NS_diff__T3_full_minus_S3,counter_evidence,T3_full_minus_S3,S3,T3_full,south_china_scs,V_NS_diff,-0.0153858843896338,,"For V_NS_diff, south_china_scs support decrease in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_NS_diff__T3_late_minus_T3_early,counter_evidence,T3_late_minus_T3_early,T3_early,T3_late,south_china_scs,V_NS_diff,-0.021745068570609205,,"For V_NS_diff, south_china_scs support decrease in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_NS_diff__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,south_china_scs,V_NS_diff,-0.025151505704560997,,"For V_NS_diff, south_china_scs support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_NS_diff__T3_full_minus_S3,supported,T3_full_minus_S3,S3,T3_full,north_northeast,V_NS_diff,0.0087548129387801,,"For V_NS_diff, north_northeast support increase in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_NS_diff__T3_late_minus_T3_early,weak_or_near_zero,T3_late_minus_T3_early,T3_early,T3_late,north_northeast,V_NS_diff,0.003369051346072502,,"For V_NS_diff, north_northeast support near_zero in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_NS_diff__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,north_northeast,V_NS_diff,-0.0217221195854788,,"For V_NS_diff, north_northeast support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
