window_id,target_name,object_A,object_B,permutation_level,mode_stability_status,extreme_year_dominated_flag,tercile_high_order_level,tercile_low_order_level,tercile_high_low_reversal_flag,best_quantile_scheme,best_high_order_level,best_low_order_level,best_high_dominant_probability,best_low_dominant_probability,best_high_low_reversal_flag,gradient_status,delta_gradient_slope,A_earlier_gradient_slope,B_earlier_gradient_slope,evidence_v1_level,evidence_v2_level,pattern_type,recommended_interpretation,interpretation_boundary
W160,W160_P_vs_V_delta_peak,P,V,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,usable_90,weak_or_none,0.9494949494949495,0.5353535353535354,True,clear_continuous_gradient,0.85,0.10293969849246232,-0.08445477386934674,not_supported,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_P_vs_H_delta_peak,P,H,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,weak_or_none,0.52,0.79,True,clear_continuous_gradient,0.9,0.079,-0.0885,not_supported,continuous_gradient_candidate,continuous_score_gradient,score bins show a continuous gradient in peak-time contrast/order probability,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_P_vs_Je_delta_peak,P,Je,strict_99,stable,False,usable_90,weak_or_none,False,decile,credible_95,weak_or_none,0.95,0.6,False,clear_continuous_gradient,1.1,0.073,-0.0595,weak_bootstrap_coupling_hint,one_sided_locking_candidate,one_sided_order_locking,one score phase strongly locks an order while the opposite phase is weak/unresolved; indicates order sharpening/suppression rather than full reversal,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_P_vs_Jw_delta_peak,P,Jw,strict_99,stable,False,weak_or_none,weak_or_none,True,decile,weak_or_none,weak_or_none,0.6767676767676768,0.8181818181818182,True,clear_continuous_gradient,2.5,0.10278140703517588,-0.11588944723618093,weak_bootstrap_coupling_hint,continuous_gradient_candidate,continuous_score_gradient,score bins show a continuous gradient in peak-time contrast/order probability,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_V_vs_H_delta_peak,V,H,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,weak_or_none,0.5252525252525253,0.8686868686868687,True,clear_continuous_gradient,1.6,0.07446733668341708,-0.09103768844221104,not_supported,continuous_gradient_candidate,continuous_score_gradient,score bins show a continuous gradient in peak-time contrast/order probability,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_V_vs_Je_delta_peak,V,Je,strict_99,stable,False,weak_or_none,weak_or_none,True,decile,usable_90,weak_or_none,0.9090909090909091,0.696969696969697,True,clear_continuous_gradient,1.6,0.16988442211055277,-0.13742964824120601,weak_bootstrap_coupling_hint,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_Jw_vs_V_delta_peak,Jw,V,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,usable_90,weak_or_none,0.9191919191919192,0.6161616161616161,True,clear_continuous_gradient,2.3,0.08975376884422111,-0.08327386934673367,not_supported,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_H_vs_Je_delta_peak,H,Je,strict_99,stable,False,credible_95,weak_or_none,False,decile,credible_95,weak_or_none,0.95,0.64,True,partial_gradient,1.3000000000000003,0.11499999999999999,-0.10699999999999998,weak_bootstrap_coupling_hint,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_H_vs_Jw_delta_peak,H,Jw,strict_99,stable,False,weak_or_none,weak_or_none,True,quartile,weak_or_none,weak_or_none,0.6987951807228916,0.8192771084337349,True,clear_continuous_gradient,2.1,0.13748241206030148,-0.14505276381909546,weak_bootstrap_coupling_hint,continuous_gradient_candidate,continuous_score_gradient,score bins show a continuous gradient in peak-time contrast/order probability,refined bootstrap-space coupling diagnostic; not a physical year-type claim
W160,W160_Je_vs_Jw_delta_peak,Je,Jw,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,weak_or_none,0.494949494949495,0.8787878787878788,True,clear_continuous_gradient,2.6,0.0956030150753769,-0.10316834170854272,not_supported,continuous_gradient_candidate,continuous_score_gradient,score bins show a continuous gradient in peak-time contrast/order probability,refined bootstrap-space coupling diagnostic; not a physical year-type claim
