window_id,metric,n_valid,field_a,field_b,source_field,target_field,prob_a_center_before_b,prob_b_center_before_a,prob_center_early_before_late,prob_separated_early_before_late,prob_shifted_early_before_late,prob_sync_or_overlap,median_center_lag_late_minus_early,q025_center_lag_late_minus_early,q975_center_lag_late_minus_early,iqr_center_lag_late_minus_early,median_overlap_ratio,loyo_prob_center_early_before_late,loyo_median_center_lag_late_minus_early,loyo_prob_sync_or_overlap,boundary_limited_flag,edge_type,usable_as_interval_order,caution
W002,detector_score,1000,P,V,P,V,0.741,0.259,0.741,0.059,0.265,0.623,1.1888947069653426,-14.653881740533649,11.548121273488826,2.8370888800011738,0.6,1.0,1.0455295557219912,1.0,none,sync_or_overlap,True,active_intervals_overlap_do_not_force_order
W002,detector_score,1000,P,H,H,P,0.12,0.88,0.88,0.759,0.865,0.042,9.230829498867735,-12.970360010313271,13.797662159112457,3.216792523735551,0.0,1.0,9.189503405433427,0.0,H_left_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W002,detector_score,1000,P,Je,P,Je,0.84,0.16,0.84,0.149,0.536,0.317,2.749460164804713,-12.197972594839097,16.33048033638899,3.947448470995507,0.36363636363636365,1.0,2.441080303477989,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W002,detector_score,1000,V,H,H,V,0.134,0.866,0.866,0.805,0.863,0.021,10.454817135941482,-12.058503591902632,15.473959337198972,3.154927733354146,0.0,1.0,10.910030919631978,0.0,H_left_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W002,detector_score,1000,H,Je,H,Je,0.895,0.105,0.895,0.86,0.874,0.05,11.766029424380442,-9.932586320365763,23.812008491269964,2.745100746088898,0.0,1.0,12.224455740114585,0.0,H_left_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W002,detector_score,1000,H,Jw,H,Jw,0.892,0.108,0.892,0.536,0.858,0.052,7.534637123073956,-13.093383754985886,17.482253030843868,5.851205609627858,0.0,1.0,7.934701544073498,0.0,H_left_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W002,detector_score,1000,Je,Jw,Jw,Je,0.238,0.762,0.762,0.255,0.643,0.159,4.389495227831784,-12.799847627701013,16.509294990289938,6.6125176483852695,0.15384615384615385,1.0,3.9370210783433492,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W003,detector_score,1000,P,V,V,P,0.132,0.868,0.868,0.351,0.595,0.345,3.1450825800936997,-3.501139684787205,25.197327667641183,10.583206162021686,0.3333333333333333,1.0,2.1003230474031085,0.5333333333333333,none,moderate_shifted_order,True,candidate_interval_order_only
W003,detector_score,1000,P,Je,P,Je,0.741,0.259,0.741,0.515,0.645,0.186,6.946817760062487,-12.607924205486256,17.360759701114272,12.7205816577376,0.0,1.0,11.308628432602163,0.0,Je_right_boundary,moderate_shifted_order,True,interval_near_analysis_boundary;candidate_interval_order_only
W003,detector_score,1000,V,Je,V,Je,0.879,0.121,0.879,0.741,0.84,0.081,13.123198386176789,-6.109080159472001,26.976549803077635,11.093212406693986,0.0,1.0,14.047637894206645,0.0,Je_right_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W003,detector_score,1000,V,Jw,V,Jw,0.862,0.138,0.862,0.501,0.733,0.175,7.071367841371085,-7.183811606844593,27.638122637594797,12.50809918298561,0.0,1.0,3.017924860243184,0.1111111111111111,none,separated_order,True,
W005,detector_score,1000,P,V,P,V,0.811,0.189,0.811,0.571,0.696,0.197,10.863711525407027,-6.444340604635796,21.737955537303826,13.694771902649162,0.0,1.0,15.51130274972408,0.08888888888888889,P_left_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W005,detector_score,1000,P,H,P,H,0.844,0.156,0.844,0.498,0.631,0.304,6.9754025548286975,-3.9967014662395957,17.5000716834453,13.730071062874678,0.0,1.0,15.515391061937365,0.08888888888888889,P_left_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W005,detector_score,1000,V,H,H,V,0.465,0.535,0.535,0.075,0.199,0.674,0.09020446000361204,-12.798703578474719,14.642964845508676,2.999222531107577,0.6666666666666666,0.5555555555555556,0.0075657313045383034,1.0,none,sync_or_overlap,True,active_intervals_overlap_do_not_force_order
W005,detector_score,1000,V,Je,Je,V,0.149,0.851,0.851,0.217,0.675,0.244,3.9913332737672533,-9.964150631024706,14.580944331470612,5.191144478491829,0.23076923076923078,1.0,3.963696153929945,0.022222222222222223,none,shifted_overlap_order,True,
W005,detector_score,1000,V,Jw,Jw,V,0.26,0.74,0.74,0.531,0.712,0.047,7.810412755494632,-15.181808460549279,18.596350967911796,11.758220061257454,0.0,1.0,8.982871152727796,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W005,detector_score,1000,H,Je,Je,H,0.087,0.913,0.913,0.085,0.673,0.25,3.8057123406502527,-9.496391868084192,11.595560853779729,3.1684081268272415,0.3333333333333333,1.0,3.9710500708145275,0.0,none,shifted_overlap_order,True,
