bootstrap_id,Y_delta_B_minus_A,A_earlier_flag,B_earlier_flag,same_day_flag,window_id,target_name,object_A,object_B
0,-5.0,False,True,False,W113,W113_P_vs_V_delta_peak,P,V
1,0.0,False,False,True,W113,W113_P_vs_V_delta_peak,P,V
2,1.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
3,-2.0,False,True,False,W113,W113_P_vs_V_delta_peak,P,V
4,2.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
5,3.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
6,-1.0,False,True,False,W113,W113_P_vs_V_delta_peak,P,V
7,2.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
8,2.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
9,2.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
10,8.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
11,-4.0,False,True,False,W113,W113_P_vs_V_delta_peak,P,V
12,-2.0,False,True,False,W113,W113_P_vs_V_delta_peak,P,V
13,0.0,False,False,True,W113,W113_P_vs_V_delta_peak,P,V
14,3.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
15,0.0,False,False,True,W113,W113_P_vs_V_delta_peak,P,V
16,1.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
17,6.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
18,1.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
19,5.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
20,3.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
21,0.0,False,False,True,W113,W113_P_vs_V_delta_peak,P,V
22,4.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
23,-3.0,False,True,False,W113,W113_P_vs_V_delta_peak,P,V
24,4.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
25,3.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
26,2.0,True,False,False,W113,W113_P_vs_V_delta_peak,P,V
