field,feature_id,feature_coordinate,feature_type,pre_mean,post_mean,dF,abs_dF,relative_abs_dF_contribution,signed_contribution_fraction,pre_internal_std,post_internal_std,feature_signal_to_noise,feature_transition_amplitude_label
P,0,0,feature_index,-1.5385636724950846,-0.2603093695989648,1.2782543028961197,1.2782543028961197,0.14376728070636385,0.14376728070634767,0.09892482965263195,0.08588090158121414,13.833492006423029,strong_transition_feature
P,1,1,feature_index,-1.4715851638075252,-0.21013987324813385,1.2614452905593914,1.2614452905593914,0.14187674453563792,0.14187674453562196,0.09636274440639497,0.06303247004686714,15.827894141871425,strong_transition_feature
P,2,2,feature_index,-1.407401920879441,-0.19786342733202017,1.209538493547421,1.209538493547421,0.13603870507848098,0.13603870507846566,0.05783433554281854,0.05012644990830343,22.406996919684673,strong_transition_feature
P,3,3,feature_index,-1.278735571854045,-0.030967441728303548,1.2477681301257415,1.2477681301257415,0.14033845269584092,0.14033845269582512,0.051960277267488884,0.1174192114795934,14.73340295617703,strong_transition_feature
P,4,4,feature_index,-0.6687479617885138,0.8860042164411579,1.5547521782296716,1.5547521782296716,0.17486543352910652,0.17486543352908684,0.2153900267646476,0.20442592688352196,7.406827514350435,strong_transition_feature
P,5,5,feature_index,0.4607065262104809,1.2705022060576538,0.8097956798471729,0.8097956798471729,0.09107899934748005,0.09107899934746981,0.20808274103121702,0.0549873079892377,6.156502291737906,strong_transition_feature
P,6,6,feature_index,0.5415820050937441,1.1716103938903872,0.6300283887966431,0.6300283887966431,0.07086028814445236,0.0708602881444444,0.16078425871431498,0.09947500079105767,4.841544466000416,strong_transition_feature
P,7,7,feature_index,0.12907551996592379,0.40380507958548234,0.2747295596195586,0.2747295596195586,0.030899267560979705,0.030899267560976232,0.06556910618545718,0.13625437044859584,2.722473759729911,moderate_transition_feature
P,8,8,feature_index,-0.5109903225477466,-0.44741587799654936,0.0635744445511972,0.0635744445511972,0.007150318207288608,0.007150318207287803,0.03680185819402127,0.07223144556687723,1.1661472661498882,weak_transition_feature
P,9,9,feature_index,-0.727550956142587,-0.8361291403833537,-0.1085781842407667,0.1085781842407667,0.012211959902628373,-0.012211959902627,0.058078442022612566,0.06836148772225474,1.7174666967648617,weak_transition_feature
P,10,10,feature_index,-0.8405310923748505,-1.034101958981529,-0.19357086660667855,0.19357086660667855,0.021771221151350245,-0.021771221151347796,0.1322091703492522,0.03967123587942394,2.25239014558637,moderate_transition_feature
P,11,11,feature_index,-0.8985995933633568,-1.0404122456763238,-0.14181265231296702,0.14181265231296702,0.015949893027232147,-0.015949893027230353,0.16724864495638203,0.03486672112313581,1.4032842238800454,weak_transition_feature
P,12,12,feature_index,-0.8496811248411809,-0.9669679643096393,-0.11728683946845841,0.11728683946845841,0.013191436113158482,-0.013191436113156998,0.1033585020788285,0.02206967998130127,1.8701832003012109,weak_transition_feature
V,0,0,feature_index,-1.1848228031354977,0.3332794335789826,1.5181022367144803,1.5181022367144803,0.18060097160844862,0.1806009716084271,0.09996258214035234,0.03224930380717893,22.964686205202153,strong_transition_feature
V,1,1,feature_index,-0.9970800155824642,0.6581674120330324,1.6552474276154965,1.6552474276154965,0.1969164437348546,0.19691644373483116,0.10701355652946574,0.023989833830970843,25.27029908212384,strong_transition_feature
V,2,2,feature_index,-0.6575193776236131,0.8077800861557284,1.4652994637793415,1.4652994637793415,0.17431929184731149,0.17431929184729075,0.0729490634976946,0.031102048936324782,28.164993712688048,strong_transition_feature
V,3,3,feature_index,-0.2979595157058188,0.6769361992623738,0.9748957149681926,0.9748957149681926,0.11597842956955137,0.11597842956953758,0.034322918187330596,0.02927025974779755,30.66038674563584,strong_transition_feature
V,4,4,feature_index,-0.005503494506424239,0.49373516148053703,0.49923865598696127,0.49923865598696127,0.05939190665503169,0.05939190665502462,0.016994756587937185,0.01969643201035552,27.21299990717546,strong_transition_feature
V,5,5,feature_index,0.1740736651736764,0.2773862655818396,0.1033126004081632,0.1033126004081632,0.012290579357481627,0.012290579357480165,0.014010354953519452,0.020597314606099665,5.970503169779441,weak_transition_feature
V,6,6,feature_index,0.36217258411250497,0.15586999893224177,-0.2063025851802632,0.2063025851802632,0.024542778758778493,-0.02454277875877557,0.015943422690741144,0.017695860471693855,12.265575587435574,moderate_transition_feature
V,7,7,feature_index,0.43696040138558734,-0.019098514066174306,-0.45605891545176164,0.45605891545176164,0.054255030556795335,-0.054255030556788875,0.009368360800053797,0.02612490845163066,25.69833239041058,strong_transition_feature
V,8,8,feature_index,0.2535492243382018,-0.2882679004890971,-0.5418171248272989,0.5418171248272989,0.06445725249024192,-0.06445725249023426,0.014128597678316658,0.03982636040156544,20.084053221023236,strong_transition_feature
V,9,9,feature_index,-0.011580512104982048,-0.5482391938260962,-0.5366586817211142,0.5366586817211142,0.06384357851332974,-0.06384357851332213,0.018790456737429614,0.019119238350738213,28.312476818643724,strong_transition_feature
V,10,10,feature_index,-0.238905694112726,-0.6878087743518563,-0.4489030802391303,0.4489030802391303,0.05340373690817512,-0.05340373690816877,0.03234556488651929,0.018214285077421455,17.757294791876575,strong_transition_feature
H,0,0,feature_index,1.3080514680035853,0.9834886162362513,-0.324562851767334,0.324562851767334,0.060029168798123346,-0.06002916879811224,0.10999428683468351,0.03849236727103524,4.3716097411944075,strong_transition_feature
H,1,1,feature_index,1.2626737327662771,0.9460591548077556,-0.31661457795852155,0.31661457795852155,0.05855910447152277,-0.05855910447151194,0.08556144197826751,0.025977997842735228,5.6771771215803835,strong_transition_feature
H,2,2,feature_index,1.0511183648636837,0.952878576877196,-0.09823978798648769,0.09823978798648769,0.01816983300344003,-0.018169833003436667,0.03859542929772593,0.046427242798996,2.3109080333871193,weak_transition_feature
H,3,3,feature_index,0.17496807656877544,0.6788615645954333,0.5038934880266579,0.5038934880266579,0.09319707133554267,0.09319707133552543,0.09143224029846926,0.10006870467539791,5.262569206540033,strong_transition_feature
H,4,4,feature_index,-0.8022240226453341,0.01016870559941825,0.8123927282447524,0.8123927282447524,0.15025521235292652,0.15025521235289874,0.15341793798794448,0.0974764053495121,6.475974846077707,strong_transition_feature
