bootstrap_id,Y_delta_B_minus_A,A_earlier_flag,B_earlier_flag,same_day_flag,window_id,target_name,object_A,object_B
0,14.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
1,1.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
2,0.0,False,False,True,W160,W160_V_vs_Je_delta_peak,V,Je
3,-1.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
4,1.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
5,7.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
6,10.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
7,-5.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
8,6.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
9,4.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
10,3.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
11,0.0,False,False,True,W160,W160_V_vs_Je_delta_peak,V,Je
12,2.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
13,3.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
14,0.0,False,False,True,W160,W160_V_vs_Je_delta_peak,V,Je
15,-1.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
16,-2.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
17,-4.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
18,-1.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
19,-3.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
20,0.0,False,False,True,W160,W160_V_vs_Je_delta_peak,V,Je
21,6.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
22,1.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
23,4.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
24,1.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
25,-2.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
26,4.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
27,2.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
28,-1.0,False,True,False,W160,W160_V_vs_Je_delta_peak,V,Je
29,1.0,True,False,False,W160,W160_V_vs_Je_delta_peak,V,Je
