evidence_tier,v1_stability_judgement,n_pairs
Tier1a_audit_stable_clear_leadlag,stable_lag_dominant,31
Tier1b_audit_stable_with_same_day,significant_lagged_but_tau0_coupled,77
Tier1b_audit_stable_with_same_day,stable_lag_dominant,86
Tier2_main_supported_audit_moderate,significant_lagged_but_tau0_coupled,23
Tier2_main_supported_audit_moderate,stable_lag_dominant,18
Tier3_surrogate_or_persistence_sensitive_yes,audit_sensitive,13
Tier4a_ambiguous_bidirectional_close,not_supported,218
Tier4b_ambiguous_same_day_dominant,not_supported,180
Tier4c_ambiguous_direction_uncertain,not_supported,55
Tier4d_ambiguous_marginal_statistical_support,not_supported,111
Tier5a_no_not_supported,not_supported,1614
Tier5b_no_reverse_dominant,not_supported,158
Tier5c_no_same_day_only,not_supported,188
