object,candidate_id,candidate_day,candidate_date,object_derived_window_id,object_window_start_day,object_window_end_day,is_object_window_main_peak,nearest_joint_candidate_day,distance_to_nearest_joint_candidate,nearest_joint_lineage_status,nearest_joint_derived_window_id,nearest_strict_accepted_window_id,nearest_strict_anchor_day,distance_to_nearest_strict_anchor,within_strict_accepted_window_band,was_selected_as_v10_window_conditioned_main_peak,v10_window_id_if_selected,candidate_relation_to_joint_lineage
H,CP005,95,07-05,W005,91,98,True,96,1,derived_non_strict_candidate_window,W004,W081,81,14,False,False,,near_joint_non_strict_candidate
H,CP006,115,07-25,W006,110,118,True,113,2,strict_accepted_main_window,W005,W113,113,2,True,True,W113,near_joint_strict_accepted
H,CP007,129,08-08,W007,127,131,True,132,3,derived_non_strict_candidate_window,W006,W113,113,16,False,False,,near_joint_non_strict_candidate
H,CP008,155,09-03,W008,151,158,True,160,5,strict_accepted_main_window,W007,W160,160,5,True,True,W160,near_joint_strict_accepted
Je,CP001,26,04-27,W001,24,28,True,18,8,derived_non_strict_candidate_window,W001,W045,45,19,False,False,,within_10d_of_joint_candidate
Je,CP002,33,05-04,W002,31,35,True,45,12,strict_accepted_main_window,W002,W045,45,12,False,False,,distant_from_joint_candidate
Je,CP003,46,05-17,W003,43,50,True,45,1,strict_accepted_main_window,W002,W045,45,1,True,True,W045,near_joint_strict_accepted
Je,CP004,81,06-21,W004,79,83,True,81,0,strict_accepted_main_window,W003,W081,81,0,True,True,W081,near_joint_strict_accepted
Je,CP005,94,07-04,W005,92,96,True,96,2,derived_non_strict_candidate_window,W004,W081,81,13,False,False,,near_joint_non_strict_candidate
Je,CP006,111,07-21,W006,103,117,True,113,2,strict_accepted_main_window,W005,W113,113,2,True,True,W113,near_joint_strict_accepted
Je,CP007,136,08-15,W007,132,144,True,135,1,derived_non_strict_candidate_window,W006,W113,113,23,False,False,,near_joint_non_strict_candidate
Je,CP008,162,09-10,W008,159,165,True,160,2,strict_accepted_main_window,W007,W160,160,2,True,True,W160,near_joint_strict_accepted
Jw,CP001,41,05-12,W001,37,49,True,45,4,strict_accepted_main_window,W002,W045,45,4,True,True,W045,near_joint_strict_accepted
Jw,CP002,83,06-23,W002,78,86,True,81,2,strict_accepted_main_window,W003,W081,81,2,True,True,W081,near_joint_strict_accepted
Jw,CP003,104,07-14,W003,97,114,True,96,8,derived_non_strict_candidate_window,W004,W113,113,9,False,True,W113,within_10d_of_joint_candidate
Jw,CP004,130,08-09,W004,127,135,True,132,2,derived_non_strict_candidate_window,W006,W113,113,17,False,False,,near_joint_non_strict_candidate
Jw,CP005,152,08-31,W005,148,156,True,160,8,strict_accepted_main_window,W007,W160,160,8,False,True,W160,within_10d_of_joint_candidate
