window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,mode,phase_group,phase_group_size,years_in_phase_group,group_role
W045,P,V,3.0,2.0,3.0,7.0,-1.0,1.0,-6.0,14.0,0.616,0.752,0.9,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,H,3.0,2.0,3.0,7.0,-10.0,-4.0,-14.0,9.524999999999977,0.236,0.326,0.602,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,Je,3.0,2.0,3.0,7.0,-4.0,-3.0,-9.0,9.0,0.27,0.412,0.882,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,Jw,3.0,2.0,3.0,7.0,-3.0,-1.0,-7.0,10.0,0.518,0.676,0.918,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,H,3.0,2.0,3.0,7.0,-9.0,-6.0,-14.0,6.0,0.198,0.286,0.58,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,Je,3.0,2.0,3.0,7.0,-3.0,-4.0,-10.524999999999999,7.0,0.24,0.35,0.82,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,Jw,3.0,2.0,3.0,7.0,-2.0,-2.0,-8.0,3.0,0.54,0.666,0.96,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,Je,3.0,2.0,3.0,7.0,6.0,3.0,-10.0,11.0,0.248,0.34,0.72,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,Jw,3.0,2.0,3.0,7.0,7.0,4.0,-7.0,11.0,0.234,0.304,0.686,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,Jw,3.0,2.0,3.0,7.0,1.0,2.0,-7.524999999999999,6.0,0.42,0.596,0.96,synchrony_indeterminate,normal,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,V,4.0,1.0,4.0,11.0,-2.0,-1.0,-10.0,6.0,0.432,0.86,0.984,synchrony_tendency,normal,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,H,4.0,1.0,4.0,11.0,-12.0,-1.0,-17.0,10.0,0.192,0.474,0.854,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,Je,4.0,1.0,4.0,11.0,1.0,2.0,-7.0,7.0,0.362,0.796,0.998,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,Jw,4.0,1.0,4.0,11.0,-4.0,-4.0,-9.0,5.0,0.128,0.548,0.998,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,H,4.0,1.0,4.0,11.0,-10.0,1.0,-15.0,11.0,0.108,0.384,0.886,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,Je,4.0,1.0,4.0,11.0,3.0,3.0,-6.0,9.0,0.082,0.694,0.994,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,Jw,4.0,1.0,4.0,11.0,-2.0,-2.0,-10.0,5.0,0.304,0.724,0.986,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
