smoothing,window_id,object,config_id,detector_scale,detector_width,band_half_width,search_mode,search_start_day,search_end_day,selection_rule,selected_peak_day,selected_peak_date,selected_window_start,selected_window_end,selected_candidate_id,candidate_rank_by_score,detector_score,distance_to_anchor,overlap_with_system_window,support_class,relation_to_system_window,detector_source,is_v9_baseline_peak,v9_baseline_peak_day,delta_from_v9_baseline
smooth9,W113,P,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,98,128,baseline_rule,113,7月23日,105,121,CP002,2,11.231417285752324,0.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,True,113,0
smooth9,W113,V,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,98,128,baseline_rule,114,7月24日,106,122,CP001,1,8.239540489548416,1.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,True,114,0
smooth9,W113,H,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,98,128,baseline_rule,113,7月23日,105,121,CP001,1,71.97973978634536,0.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,False,115,-2
smooth9,W113,Je,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,98,128,baseline_rule,110,7月20日,102,118,CP001,1,44.94684930418055,3.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,False,111,-1
smooth9,W113,Jw,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,98,128,baseline_rule,111,7月21日,103,119,CP002,2,27.549513003638737,2.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,False,104,7
smooth9,W113,P,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,98,128,max_score,98,7月8日,90,106,CP001,1,12.244941617325837,15.0,0.0,weak_window,pre_window,local_prepost_contrast_score,False,113,-15
smooth9,W113,V,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,98,128,max_score,114,7月24日,106,122,CP001,1,8.239540489548416,1.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,True,114,0
smooth9,W113,H,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,98,128,max_score,113,7月23日,105,121,CP001,1,71.97973978634536,0.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,False,115,-2
smooth9,W113,Je,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,98,128,max_score,110,7月20日,102,118,CP001,1,44.94684930418055,3.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,False,111,-1
smooth9,W113,Jw,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,98,128,max_score,105,7月15日,97,113,CP001,1,30.121857562151703,8.0,6.0,candidate_window,front_or_early,local_prepost_contrast_score,False,104,1
smooth9,W113,P,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,98,128,closest_anchor,113,7月23日,105,121,CP002,2,11.231417285752324,0.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,True,113,0
smooth9,W113,V,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,98,128,closest_anchor,114,7月24日,106,122,CP001,1,8.239540489548416,1.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,True,114,0
smooth9,W113,H,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,98,128,closest_anchor,113,7月23日,105,121,CP001,1,71.97973978634536,0.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,False,115,-2
smooth9,W113,Je,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,98,128,closest_anchor,110,7月20日,102,118,CP001,1,44.94684930418055,3.0,11.0,accepted_window,within_system_window,local_prepost_contrast_score,False,111,-1
