window_id,target_name,feature_col,targeted_svd_coefficient
W081,W081_V_earlier_minus_Jw_earlier,0,0.012028572990035413
W081,W081_V_earlier_minus_Jw_earlier,1,0.018043113019858094
W081,W081_V_earlier_minus_Jw_earlier,2,0.029900334721840973
W081,W081_V_earlier_minus_Jw_earlier,3,0.02888812589988447
W081,W081_V_earlier_minus_Jw_earlier,4,0.007748035032992252
W081,W081_V_earlier_minus_Jw_earlier,5,-0.018358118374969243
W081,W081_V_earlier_minus_Jw_earlier,6,-0.022512505079864818
W081,W081_V_earlier_minus_Jw_earlier,7,-0.02705837451057912
W081,W081_V_earlier_minus_Jw_earlier,8,-0.006550943020827432
W081,W081_V_earlier_minus_Jw_earlier,9,0.006776560482151809
W081,W081_V_earlier_minus_Jw_earlier,10,0.009807674816499851
W081,W081_V_earlier_minus_Jw_earlier,11,0.003843459178157425
W081,W081_V_earlier_minus_Jw_earlier,12,0.006588605585967071
W081,W081_V_earlier_minus_Jw_earlier,13,0.009531527703443248
W081,W081_V_earlier_minus_Jw_earlier,14,0.01617773671787406
W081,W081_V_earlier_minus_Jw_earlier,15,0.0277733246408901
W081,W081_V_earlier_minus_Jw_earlier,16,0.025426304749227996
W081,W081_V_earlier_minus_Jw_earlier,17,0.007857992604332115
W081,W081_V_earlier_minus_Jw_earlier,18,-0.01379669493082345
W081,W081_V_earlier_minus_Jw_earlier,19,-0.01598911521856301
W081,W081_V_earlier_minus_Jw_earlier,20,-0.026017577961492913
W081,W081_V_earlier_minus_Jw_earlier,21,-0.002701587426460765
W081,W081_V_earlier_minus_Jw_earlier,22,0.009505673425143893
W081,W081_V_earlier_minus_Jw_earlier,23,0.008400265200283004
W081,W081_V_earlier_minus_Jw_earlier,24,-0.003145300954427656
W081,W081_V_earlier_minus_Jw_earlier,25,0.0012447746257904782
W081,W081_V_earlier_minus_Jw_earlier,26,0.008529146629621913
W081,W081_V_earlier_minus_Jw_earlier,27,0.01635709387806084
W081,W081_V_earlier_minus_Jw_earlier,28,0.02908225615732595
W081,W081_V_earlier_minus_Jw_earlier,29,0.022746334261774408
W081,W081_V_earlier_minus_Jw_earlier,30,0.007359777264159576
